	token	coref	ner
0	Griffie	O	O
1	Gemeenteraad	O	O
2	Utrecht	O	O
3	Secretariaat	O	O
4	raadscommissie	O	O
5	Mens	O	O
6	&	O	O
7	Samenleving	O	O
8	Postadres	O	O
9	Postbus	O	O
10	16200	O	O
11	3500	O	O
12	CE	O	O
13	Utrecht	O	O
14	Telefoon	O	O
15	30	O	O
16	-	O	O
17	286	O	O
18	10	O	O
19	69	O	O
20	Fax	O	O
21	30	O	O
22	-	O	O
23	286	O	O
24	15	O	O
25	18	O	O
26	www.utrecht.nl/gemeenteraad	O	O
27	VERSLAG	O	O
28	OPENBARE	O	O
29	VERGADERING	O	O
30	COMMISSIE	O	O
31	MENS	O	O
32	&	O	O
33	SAMENLEVING	O	O
34	D.D.	O	O
35	30	O	O
36	SEPTEMBER	O	O
37	2021	O	O
38	[	O	O
39	Typ	O	O
40	hier	O	O
41	]	O	O
42	Pagina	O	O
43	1	(0)	O
44	van	O	O
45	12	O	O
46	Datum	O	O
47	verslag	O	O
48	Locatie	O	O
49	Verslag	O	O
50	door	O	O
51	Vaststelling	O	O
52	verslag	O	O
53	4	O	O
54	oktober	O	O
55	2021	O	O
56	Stadhuis	O	O
57	,	O	O
58	de	O	O
59	hal	O	O
60	Geertjan	O	B-PER
61	Benus	O	E-PER
62	(	O	O
63	Notutekst	(1)	O
64	)	O	O
65	november	O	O
66	2021	O	O
67	Aanwezigen	O	O
68	:	O	O
69	Ochtendvergadering	(2)	O
70	De	(3	O
71	voorzitters	3)	O
72	,	O	O
73	de	(4	O
74	heer	O	O
75	M.	O	B-PER
76	de	O	I-PER
77	Pagter	4)	E-PER
78	,	O	O
79	de	(5	O
80	heer	O	O
81	M.	O	B-PER
82	Saiah	5)	E-PER
83	en	O	O
84	de	(6	O
85	wethouder	O	O
86	de	O	O
87	heer	O	O
88	K.	O	B-PER
89	Verschuure	6)	E-PER
90	,	O	O
91	de	(7	O
92	burgemeester	O	O
93	mevrouw	O	O
94	S.	O	B-PER
95	Dijksma	7)	E-PER
96	,	O	O
97	mevrouw	(8	O
98	S.	O	B-PER
99	Schers	O	E-PER
100	(	O	O
101	GroenLinks	8)|(9)	O
102	)	O	O
103	,	O	O
104	mevrouw	(11|(10	O
105	C.	O	B-PER
106	van	O	I-PER
107	Dun	O	E-PER
108	(	O	O
109	D66	10)|(12)	O
110	)	O	O
111	mevrouw	O	O
112	J.	O	B-PER
113	Admiraal	O	E-PER
114	(	O	O
115	ChristenUnie	11)|(13)	O
116	)	O	O
117	,	O	O
118	de	(14	O
119	10	O	O
120	heer	O	O
121	B.	O	B-PER
122	van	O	I-PER
123	Steeg	O	E-PER
124	(	O	O
125	CDA	14)|(15)	O
126	)	O	O
127	,	O	O
128	mevrouw	(16	O
129	H.	O	B-PER
130	Assen	O	E-PER
131	(	O	O
132	PvdA	16)|(17)	O
133	)	O	O
134	,	O	O
135	mevrouw	(18	O
136	T.	O	B-PER
137	Meerding	O	E-PER
138	(	O	O
139	VVD	18)|(19)	O
140	)	O	O
141	,	O	O
142	mevrouw	(20	O
143	E.	O	B-PER
144	Kendir	O	E-PER
145	(	O	O
146	Student	(21	O
147	&	O	O
148	Starter	21)|20)	O
149	)	O	O
150	,	O	O
151	mevrouw	(22	O
152	L.	O	B-PER
153	de	O	I-PER
154	Vries	O	E-PER
155	(	O	O
156	Partij	(23	O
157	voor	O	O
158	de	(24	O
159	Dieren	24)|23)|22)	O
160	)	O	O
161	,	O	O
162	en	O	O
163	de	(25	O
164	heer	O	O
165	Bosch	O	S-PER
166	(	O	O
167	PVV	25)|(26)	O
168	)	O	O
169	,	O	O
170	de	(27	O
171	heer	O	O
172	M.	O	B-PER
173	Sungur	O	E-PER
174	(	O	O
175	DENK	27)|(28)	O
176	)	O	O
177	en	O	O
178	de	(29	O
179	commissiegriffier	O	O
180	mevrouw	O	O
181	M.	O	B-PER
182	Vos	29)	E-PER
183	.	O	O
184	Verslag	O	O
185	openbare	O	O
186	vergadering	O	O
187	commissie	(30	O
188	Mens	O	O
189	&	O	O
190	Samenleving	30)	O
191	d.d.	O	O
192	30	(31	O
193	september	O	O
194	2021	31)	O
195	1	O	O
196	.	O	O
197	Opening	(32)|(33	O
198	en	O	O
199	mededelingen	33)|(34)	O
200	.	O	O
201	.	O	O
202	.	O	O
203	.	O	O
204	.	O	O
205	.	O	O
206	.	O	O
207	.	O	O
208	.	O	O
209	.	O	O
210	.	O	O
211	.	O	O
212	.	O	O
213	.	O	O
214	.	O	O
215	.	O	O
216	.	O	O
217	.	O	O
218	.	O	O
219	.	O	O
220	.	O	O
221	.	O	O
222	.	O	O
223	.	O	O
224	.	O	O
225	.	O	O
226	.	O	O
227	.	O	O
228	.	O	O
229	.	O	O
230	.	O	O
231	.	O	O
232	.	O	O
233	.	O	O
234	.	O	O
235	.	O	O
236	.	O	O
237	.	O	O
238	.	O	O
239	.	O	O
240	.	O	O
241	.	O	O
242	.	O	O
243	.	O	O
244	.	O	O
245	.	O	O
246	.	O	O
247	.	O	O
248	.	O	O
249	.	O	O
250	.	O	O
251	.	O	O
252	.	O	O
253	.	O	O
254	.	O	O
255	.	O	O
256	.	O	O
257	.	O	O
258	.	O	O
259	.	O	O
260	.	O	O
261	.	O	O
262	.	O	O
263	.	O	O
264	.	O	O
265	.	O	O
266	.	O	O
267	.	O	O
268	.	O	O
269	.	O	O
270	.	O	O
271	.	O	O
272	.	O	O
273	.	O	O
274	.	O	O
275	.	O	O
276	.	O	O
277	.	O	O
278	.	O	O
279	.	O	O
280	.	O	O
281	.	O	O
282	.	O	O
283	.	O	O
284	.	O	O
285	.	O	O
286	.	O	O
287	.	O	O
288	.	O	O
289	.	O	O
290	.	O	O
291	.	O	O
292	.	O	O
293	.	O	O
294	.	O	O
295	.	O	O
296	.	O	O
297	.	O	O
298	.	O	O
299	.	O	O
300	.	O	O
301	.	O	O
302	.	O	O
303	.	O	O
304	.	O	O
305	.	O	O
306	.	O	O
307	.	O	O
308	.	O	O
309	.	O	O
310	.	O	O
311	.	O	O
312	.	O	O
313	.	O	O
314	.	O	O
315	.	O	O
316	.	O	O
317	.....	O	O
318	-	O	O
319	1	O	O
320	-	O	O
321	2.	O	O
322	Vaststellen	O	O
323	agenda	O	O
324	en	O	O
325	inventarisatie	(35	O
326	agendapunten	35)	O
327	.	O	O
328	.	O	O
329	.	O	O
330	.	O	O
331	.	O	O
332	.	O	O
333	.	O	O
334	.	O	O
335	.	O	O
336	.	O	O
337	.	O	O
338	.	O	O
339	.	O	O
340	.	O	O
341	.	O	O
342	.	O	O
343	.	O	O
344	.	O	O
345	.	O	O
346	.	O	O
347	.	O	O
348	.	O	O
349	.	O	O
350	.	O	O
351	.	O	O
352	.	O	O
353	.	O	O
354	.	O	O
355	.	O	O
356	.	O	O
357	.	O	O
358	.	O	O
359	.	O	O
360	.	O	O
361	.	O	O
362	.	O	O
363	.	O	O
364	.	O	O
365	.	O	O
366	.	O	O
367	.	O	O
368	.	O	O
369	.	O	O
370	.	O	O
371	.	O	O
372	.	O	O
373	.	O	O
374	.	O	O
375	.	O	O
376	.	O	O
377	.	O	O
378	.	O	O
379	.	O	O
380	.	O	O
381	.	O	O
382	.	O	O
383	.	O	O
384	.	O	O
385	.	O	O
386	.	O	O
387	.	O	O
388	.	O	O
389	.	O	O
390	.	O	O
391	.	O	O
392	.	O	O
393	.	O	O
394	.	O	O
395	.	O	O
396	.	O	O
397	.	O	O
398	.	O	O
399	.	O	O
400	.	O	O
401	.	O	O
402	.	O	O
403	.......	O	O
404	-	O	O
405	1	O	O
406	-	O	O
407	3.	O	O
408	Raadsvoorstel	O	O
409	tweede	O	O
410	begrotingswijziging	O	O
411	2021	(36)	O
412	.	O	O
413	.	O	O
414	.	O	O
415	.	O	O
416	.	O	O
417	.	O	O
418	.	O	O
419	.	O	O
420	.	O	O
421	.	O	O
422	.	O	O
423	.	O	O
424	.	O	O
425	.	O	O
426	.	O	O
427	.	O	O
428	.	O	O
429	.	O	O
430	.	O	O
431	.	O	O
432	.	O	O
433	.	O	O
434	.	O	O
435	.	O	O
436	.	O	O
437	.	O	O
438	.	O	O
439	.	O	O
440	.	O	O
441	.	O	O
442	.	O	O
443	.	O	O
444	.	O	O
445	.	O	O
446	.	O	O
447	.	O	O
448	.	O	O
449	.	O	O
450	.	O	O
451	.	O	O
452	.	O	O
453	.	O	O
454	.	O	O
455	.	O	O
