	token	coref	ner
0	Retouradres	O	O
1	Antwoordnummer	O	O
2	3061	(0)	O
3	,	O	O
4	8000	O	O
5	WB	O	O
6	Zwolle	O	O
7	Dhr.	O	O
8	B.	O	B-PER
9	van	O	I-PER
10	’t	O	I-PER
11	Wout	O	E-PER
12	,	O	O
13	Minister	(1	O
14	van	O	O
15	Economische	(3|(2	O
16	Zaken	2)	O
17	en	O	O
18	Klimaat	3)|(4)	O
19	Mevr.	O	O
20	K.	O	B-PER
21	Ollongren	1)	E-PER
22	,	O	O
23	Minister	(5	O
24	van	O	O
25	Binnenlandse	(7|(6	O
26	Zaken	6)	O
27	en	O	O
28	Koninkrijksrelaties	7)	O
29	Datum	O	O
30	29	(8	O
31	januari	O	O
32	2021	8)|5)	O
33	Betreft	O	O
34	Wetsvoorstel	O	O
35	wijziging	O	O
36	Tijdelijke	O	O
37	Wet	O	O
38	Groningen	O	O
39	in	O	O
40	verband	O	O
41	met	O	O
42	de	(9	O
43	versterking	O	O
44	(	O	O
45	35	(10	O
46	603	10)|9)	O
47	)	O	O
48	Referentienummer	O	O
49	IMG/Bestuur/2021/019	O	O
50	Geachte	O	O
51	mevrouw	O	O
52	Ollongren	O	S-PER
53	en	O	O
54	heer	(12|(11	O
55	Van	O	B-PER
56	’t	O	I-PER
57	Wout	11)	E-PER
58	,	O	O
59	Het	(13	O
60	wetsvoorstel	O	O
61	tot	O	O
62	wijziging	(14	O
63	van	O	O
64	de	(15	O
65	Tijdelijke	O	O
66	wet	O	O
67	Groningen	O	O
68	in	O	O
69	verband	O	O
70	met	O	O
71	de	(16	O
72	versterking	O	O
73	(	O	O
74	35	(17	O
75	603	17)|16)|15)|14)|13)|12)	O
76	)	O	O
77	wordt	O	O
78	op	O	O
79	10	(18	O
80	februari	O	O
81	2021	18)	O
82	door	O	O
83	de	(19	O
84	Tweede	O	O
85	Kamer	19)	O
86	plenair	O	O
87	behandeld	O	O
88	.	O	O
89	Het	(21|(20	O
90	Instituut	O	O
91	Mijnbouwschade	O	O
92	Groningen	20)	O
93	(	O	O
94	IMG	21)|(20)	O
95	)	O	O
96	acht	O	O
97	het	(22)	O
98	wenselijk	O	O
99	een	(23	O
100	aantal	O	O
101	wezenlijke	(24	O
102	elementen	O	O
103	van	O	O
