	token	coref	ner
0	contactpersoon	(0)	O
1	:	O	O
2	T.A.	O	B-PER
3	Mosterman	O	E-PER
4	T	O	O
5	0570-679425	(1	O
6	e-mail	1)	O
7	:	O	O
8	thijs.mosterman@oranjewoud.nl	O	O
9	F	O	O
10	(	O	O
11	570	O	O
12	)	O	O
13	663985	O	O
14	typ.	O	O
15	:	O	O
16	DW	(2	O
17	bijlage	O	O
18	(	O	O
19	n	2)|(3)	O
20	)	O	O
21	:	O	O
22	als	O	O
23	genoemd	O	O
24	coll	O	O
25	.	O	O
26	:	O	O
27	Handelsregister	O	O
28	Leeuwarden	O	O
29	1041339	O	O
30	ingeschreven	O	O
31	onder	O	O
32	Ingenieursbureau	O	O
33	Oranjewoud	O	O
34	B.V.	O	O
35	btw.nr.	O	O
36	NL003616654B02	O	O
37	Vestigingen	O	O
38	in	O	O
39	Heerenveen	(4)	O
40	/	O	O
41	Assen	O	O
42	/	O	O
43	Schoonebeek	O	O
44	/	O	O
45	Deventer	O	O
46	/	O	O
47	Almere	O	O
48	/	O	O
49	Capelle	O	O
50	a/d	O	O
51	IJssel	O	O
52	/	O	O
53	Goes	O	O
54	/	O	O
55	Oosterhout	O	O
56	/	O	O
57	Geleen	O	O
58	Gemeente	O	O
59	Apeldoorn	O	O
60	T.a.v.	O	O
61	de	(5	O
62	heer	O	O
63	B.	O	B-PER
64	van	O	I-PER
65	der	O	I-PER
66	Mark	5)	E-PER
67	Postbus	O	O
68	9033	O	O
69	7300	O	O
70	ES	O	O
71	APELDOORN	O	O
72	datum	O	O
73	10	(6	O
74	november	O	O
75	2006	6)	O
76	uw	O	O
77	brief	O	O
78	van	O	O
79	uw	(7	O
80	kenmerk	O	O
81	ons	7)|(8)	O
82	kenmerk	O	O
83	164628	(9)	O
84	onderwerp	O	O
85	Aanvullend	O	O
86	bodemonderzoek	O	O
87	Eglantier	O	O
88	te	O	O
89	Apeldoorn	(10)	O
90	,	O	O
91	locatie	(11	O
92	B2	O	O
93	(	O	O
94	openbare	(12	O
95	weg	12)|11)	O
96	)	O	O
97	Geachte	(13	O
98	heer	O	O
99	Van	O	B-PER
100	der	O	I-PER
101	Mark	13)	E-PER
102	,	O	O
103	Hierbij	O	O
104	ontvangt	O	O
105	u	(14)	O
106	de	(15	O
107	resultaten	O	O
108	van	O	O
109	het	(16	O
110	uitgevoerde	O	O
111	bodemonderzoek	O	O
112	op	O	O
113	het	(17	O
114	bovengenoemde	O	O
115	terrein	17)|16)|15)	O
116	.	O	O
117	Aanleiding	(18	O
118	voor	O	O
119	het	(19	O
120	aanvullend	O	O
121	bodemonderzoek	19)|18)	O
122	zijn	O	O
123	de	(20	O
124	resultaten	O	O
125	van	O	O
126	het	(21	O
127	door	O	O
128	ons	(22)|(23	O
129	bureau	23)	O
130	uitgevoerde	O	O
131	verkennend	O	O
132	onderzoek	O	O
133	(	O	O
134	Berm-	(25|(24	O
135	en	O	O
136	wegmateriaalonderzoek	(26	O
137	plangebied	O	O
138	Eglantier/Gildelaan	O	O
139	te	O	O
140	Apeldoorn	26)|24)|(27)	O
141	,	O	O
142	kenmerk	(29|(28	O
143	164628	28)|(30)	O
144	,	O	O
145	15	(31	O
146	augustus	O	O
147	2006	31)|29)|25)|21)|20)	O
148	)	O	O
149	.	O	O
150	Deze	(32	O
151	locatie	32)	O
152	is	O	O
153	onderzocht	O	O
154	in	O	O
155	het	O	O
156	kader	O	O
157	van	O	O
158	de	(34|(33	O
159	geplande	O	O
160	herinrichting-	33)	O
161	en	O	O
162	renovatiewerkzaamheden	34)	O
163	.	O	O
164	Hierbij	O	O
165	is	O	O
166	ter	O	O
167	plaatse	(35	O
168	van	O	O
169	deellocatie	(36	O
170	B2	36)|35)|(37)	O
171	een	(39|(38	O
172	tussenwaarde	O	O
173	overschrijding	O	O
174	aan	O	O
175	PAK	(40)|(41	O
176	(	O	O
177	37	(42	O
178	mg/kg	O	O
179	ds	42)|41)|38)	O
180	)	O	O
181	in	O	O
182	mengmonster	(43	O
183	MM02	43)|39)	O
184	gemeten	O	O
185	.	O	O
186	Om	O	O
187	meer	(44	O
188	inzicht	44)	O
189	te	O	O
190	krijgen	O	O
191	in	O	O
192	de	(45	O
193	mate	O	O
194	en	O	O
195	omvang	O	O
196	van	O	O
197	deze	(46	O
198	verontreiniging	46)|45)	O
199	is	O	O
200	een	(47	O
201	aanvullend	O	O
202	bodemonderzoek	47)	O
203	uitgevoerd	O	O
204	.	O	O
205	Het	(48	O
206	doel	O	O
207	van	O	O
208	het	(47	O
209	onderzoek	47)|48)	O
210	is	O	O
211	het	(49	O
212	vaststellen	O	O
213	van	O	O
214	de	(50	O
215	mate	O	O
216	en	O	O
217	omvang	O	O
218	van	O	O
219	de	(52|(51	O
220	milieuhygiënische	O	O
221	kwaliteit	O	O
222	van	O	O
223	de	(53	O
224	grond	53)|51)	O
225	en	O	O
226	de	(54	O
227	eventuele	O	O
228	gebruiksbeperkingen	54)|52)|50)|49)	O
229	.	O	O
230	Het	(47	O
231	onderzoeksgebied	47)	O
232	betreft	O	O
233	een	O	O
234	openbare	O	O
235	weg	O	O
236	en	O	O
237	is	O	O
238	gelegen	O	O
239	in	O	O
240	het	(55	O
241	plangebied	O	O
242	'	O	O
243	woonwijk/winkelcentrum	(56	O
244	Eglantier	O	O
245	'	O	O
246	te	O	O
247	Apeldoorn	56)|55)|(57)	O
248	.	O	O
249	Deze	(47)	O
250	wordt	O	O
251	globaal	O	O
252	omsloten	O	O
253	door	O	O
254	de	(59|(58	O
255	Eglantier	O	O
256	(	O	O
257	zuidwest	(60	O
258	zijde	60)|58)	O
259	)	O	O
260	,	O	O
261	de	(61	O
262	Gildelaan	O	O
263	(	O	O
264	zuidoost	(62	O
265	zijde	62)|61)	O
266	)	O	O
267	,	O	O
268	een	(63	O
269	vijverpartij	O	O
270	(	O	O
271	noordzijde	63)|(64)	O
272	)	O	O
273	en	O	O
274	het	(65	O
275	wijkontmoetingscentrum	65)|59)	O
276	.	O	O
277	In	O	O
278	het	(66	O
