	token	gold	model
0	2	['']	[]
1	0	['']	[]
2	2	['']	[]
3	2	['']	[]
4	NOTULEN	['']	[]
5	VERGADERING	['']	[]
6	GEMEENTERAAD	['']	[]
7	UTRECHT	['']	[]
8	13e	['']	[]
9	vergadering	['']	[]
10	-	['']	[]
11	15	['']	[]
12	september	['']	[]
13	2022	['']	[]
14	Vergadering	['']	[]
15	van	['']	[]
16	de	['']	[]
17	gemeenteraad	['']	[]
18	""","""	['']	[]
19	gehouden	['']	[]
20	op	['']	[]
21	donderdag	['']	[]
22	15	['']	[]
23	september	['']	[]
24	2022	['']	[]
25	te	['']	[]
26	10.00	['']	[]
27	uur	['']	[]
28	.	['']	[]
29	B_	['B_PER_1']	[]
30	:	['']	[]
31	mevrouw	['B_PER_1']	['B_PER_1']
32	Dijksma	['I_PER_1']	['I_PER_1']
33	,	['']	[]
34	burgemeester	['B_PER_1']	[]
35	,	['']	[]
36	afgewisseld	['']	[]
37	door	['']	[]
38	de	['B_PER_2']	[]
39	heer	['I_PER_2']	['B_PER_2']
40	Zwanenberg	['I_PER_2']	['I_PER_2']
41	.	['']	[]
42	Aanwezig	['']	[]
43	zijn	['']	[]
44	de	['']	[]
45	leden	['']	[]
46	:	['']	[]
47	Assen	['B_PER_3']	['B_PER_3']
48	,	['']	[]
49	Al-Saqaff	['B_PER_4']	['B_PER_4']
50	,	['']	[]
51	Bakker	['B_PER_5']	['B_PER_5']
52	,	['']	[]
53	Bode	['B_PER_6']	['B_PER_6']
54	,	['']	[]
55	Bosch	['B_PER_7']	['B_PER_7']
56	,	['']	[]
57	Chirino	['B_PER_8']	['B_PER_8']
58	,	['']	[]
59	Dada-Anthonij	['B_PER_9']	['B_PER_9']
60	,	['']	[]
61	Dekkers	['B_PER_10']	['B_PER_10']
62	,	['']	[]
63	Deldjou	['B_PER_11']	['B_PER_11']
64	Fard	['I_PER_11']	['I_PER_11']
65	,	['']	[]
66	Dijkstra	['B_PER_12']	['B_PER_12']
67	,	['']	[]
68	Fattal	['B_PER_13']	['B_PER_13']
69	,	['']	[]
70	Heijne	['B_PER_14']	['B_PER_14']
71	,	['']	[]
72	Hellevoort	['B_PER_15']	['B_PER_15']
73	,	['']	[]
74	Hessel	['B_PER_16']	['B_PER_16']
75	,	['']	[]
76	Van	['B_PER_17']	['B_PER_17']
77	Heuven	['I_PER_17']	['I_PER_17']
78	,	['']	[]
79	Te	['B_PER_18']	['B_PER_18']
80	Hoonte	['I_PER_18']	['I_PER_18']
81	,	['']	[]
82	Hornsveld	['B_PER_19']	['B_PER_19']
83	,	['']	[]
84	Kendir	['B_PER_20']	['B_PER_20']
85	,	['']	[]
86	Kleinrensink	['B_PER_21']	['B_PER_21']
87	,	['']	[]
88	Koning	['B_PER_22']	['B_PER_22']
89	,	['']	[]
90	Maas	['B_PER_23']	['B_PER_23']
91	,	['']	[]
92	Meerding	['B_PER_24']	['B_PER_24']
93	,	['']	[]
94	Nolten	['B_PER_25']	['B_PER_25']
95	,	['']	[]
96	Oudejans	['B_PER_26']	['B_PER_26']
97	,	['']	[]
98	De	['B_PER_27']	['B_PER_27']
99	Pagter	['I_PER_27']	['I_PER_27']
100	,	['']	[]
101	Passier	['B_PER_28']	['B_PER_28']
102	,	['']	[]
103	Peters	['B_PER_29']	['B_PER_29']
104	,	['']	[]
105	Ramaker	['B_PER_30']	['B_PER_30']
106	,	['']	[]
107	Raaijmakers	['B_PER_31']	['B_PER_31']
108	,	['']	[]
109	Sasbrink	['B_PER_32']	['B_PER_32']
110	,	['']	[]
111	Snippe	['B_PER_33']	['B_PER_33']
112	,	['']	[]
113	Van	['B_PER_34']	['B_PER_34']
114	Steeg	['I_PER_34']	['I_PER_34']
115	,	['']	[]
116	Stellinga	['B_PER_35']	['B_PER_35']
117	,	['']	[]
118	Stylianou	['B_PER_36']	['B_PER_36']
119	,	['']	[]
120	Sungur	['B_PER_37']	['B_PER_37']
121	,	['']	[]
122	Vasters	['B_PER_38']	['B_PER_38']
123	,	['']	[]
124	Vermeulen	['B_PER_39']	['B_PER_39']
125	,	['']	[]
126	Van	['B_PER_40']	['B_PER_40']
127	Vliet	['I_PER_40']	['I_PER_40']
128	,	['']	[]
129	Van	['B_PER_41']	['B_PER_41']
130	der	['I_PER_41']	['I_PER_41']
131	Wilt	['I_PER_41']	['I_PER_41']
132	,	['']	[]
133	Zwanenberg	['B_PER_42']	['B_PER_42']
134	,	['']	[]
135	Van	['B_PER_43']	['B_PER_43']
136	der	['I_PER_43']	['I_PER_43']
137	Zweth	['I_PER_43']	['I_PER_43']
138	en	['']	[]
139	Zwinkels	['B_PER_44']	['B_PER_44']
140	.	['']	[]
141	Afwezig	['']	[]
142	zijn	['']	[]
143	de	['']	[]
144	leden	['']	[]
145	:	['']	[]
146	Bos	['B_PER_45']	['B_PER_45']
147	,	['']	[]
148	Van	['B_PER_46']	['B_PER_46']
149	der	['I_PER_46']	['I_PER_47']
150	Graaf	['I_PER_46']	['I_PER_46']
151	en	['']	[]
152	Talhaoui	['B_PER_47']	['B_PER_48']
153	.	['']	[]
154	Aanwezig	['']	[]
155	zijn	['']	[]
156	de	['']	[]
157	wethouders	['']	[]
158	:	['']	[]
159	Eerenberg	['B_PER_48']	['B_PER_49']
160	,	['']	[]
161	Van	['B_PER_49']	['B_PER_50']
162	Hooijdonk	['I_PER_49']	['I_PER_50']
163	,	['']	[]
164	Oosters	['B_PER_50']	['B_PER_51']
165	,	['']	[]
166	Schilderman	['B_PER_51']	['B_PER_52']
167	,	['']	[]
168	Streefland	['B_PER_52']	['B_PER_53']
169	en	['']	[]
170	De	['B_PER_53']	['B_PER_54']
171	Vries	['I_PER_53']	['I_PER_54']
172	.	['']	[]
173	Tevens	['']	[]
174	aanwezig	['']	[]
175	:	['']	[]
176	de	['']	[]
177	heren	['']	[]
178	Venhoeven	['B_PER_54']	['B_PER_55']
179	(	['']	[]
180	voorzitter	['B_PER_54']	[]
181	Rekenkamer	['I_PER_54']	[]
182	)	['']	[]
183	en	['']	[]
184	Keulen	['']	['B_PER_56']
185	(	['']	[]
186	lid	['']	[]
187	Rekenkamer	['']	[]
188	)	['']	[]
189	.	['']	[]
190	Griffier	['B_PER_55']	[]
191	:	['']	[]
192	mevrouw	['']	['B_PER_57']
193	Van	['B_PER_55']	['I_PER_57']
194	Hall	['I_PER_55']	['I_PER_57']
195	.	['']	[]
196	1.	['']	[]
197	Opening	['']	[]
198	en	['']	[]
199	mededelingen	['']	[]
200	.	['']	[]
201	De	['B_PER_1']	[]
202	voorzitter	['I_PER_1']	[]
203	opent	['']	[]
204	de	['']	[]
205	vergadering	['']	[]
206	en	['']	[]
207	heet	['']	[]
208	de	['']	[]
209	aanwezigen	['']	[]
210	welkom	['']	[]
211	""","""	['']	[]
212	ook	['']	[]
213	de	['']	[]
214	mensen	['']	[]
215	die	['']	[]
216	thuis	['']	[]
217	meekijken	['']	[]
218	.	['']	[]
219	Tijdens	['']	[]
220	de	['']	[]
221	middagschorsing	['']	[]
222	,	['']	[]
223	rond	['']	[]
224	13.00	['']	[]
225	uur	['']	[]
226	,	['']	[]
227	zal	['']	[]
228	de	['']	[]
229	presentatie	['']	[]
230	van	['']	[]
231	de	['']	[]
232	Programmabegroting	['']	[]
233	2023	['']	[]
234	plaatsvinden	['']	[]
235	in	['']	[]
236	de	['']	[]
237	hal	['']	[]
238	van	['']	[]
239	het	['']	[]
240	stadhuis	['']	[]
241	.	['']	[]
242	Iedereen	['']	[]
243	is	['']	[]
244	daar	['']	[]
245	uiteraard	['']	[]
246	van	['']	[]
247	harte	['']	[]
248	bij	['']	[]
249	uitgenodigd	['']	[]
250	.	['']	[]
251	Bericht	['']	[]
252	van	['']	[]
253	verhindering	['']	[]
254	is	['']	[]
255	ingekomen	['']	[]
256	van	['']	[]
257	de	['']	[]
258	leden	['']	[]
259	Talhoui	['B_PER_47']	['B_PER_58']
260	,	['']	[]
261	Van	['B_PER_46']	['B_PER_59']
262	der	['I_PER_46']	['I_PER_47']
263	Graaf	['I_PER_46']	['I_PER_59']
264	en	['']	[]
265	Bos	['B_PER_45']	['B_PER_60']
266	.	['']	[]
267	Namens	['']	[]
268	de	['']	[]
269	raad	['']	[]
270	wil	['']	[]
271	zij	['B_PER_1']	[]
272	de	['B_PER_45']	['B_PER_60']
273	heer	['I_PER_45']	['B_PER_60']
274	Bos	['I_PER_45']	['I_PER_60']
275	heel	['']	[]
276	veel	['']	[]
277	sterkte	['']	[]
278	wensen	['']	[]
279	met	['']	[]
280	het	['']	[]
281	verlies	['']	[]
282	van	['']	[]
283	zijn	['B_PER_45']	[]
284	vader	['']	[]
285	,	['']	[]
286	tevens	['']	[]
287	fractiemedewerker	['']	[]
288	van	['']	[]
289	Stadsbelang	['']	[]
290	Utrecht	['']	[]
291	,	['']	[]
292	Hein	['B_PER_45']	['B_PER_61']
293	Bos.	['I_PER_45']	['I_PER_61']
294	2.	['']	[]
295	Vaststelling	['']	[]
296	agenda	['']	[]
297	.	['']	[]
298	De	['']	[]
299	agenda	['']	[]
300	.	['']	[]
301	De	['B_PER_1']	[]
302	voorzitter	['I_PER_1']	[]
303	opent	['']	[]
304	de	['']	[]
305	vergadering	['']	[]
306	en	['']	[]
307	heet	['']	[]
308	de	['']	[]
309	aanwezigen	['']	[]
310	welkom	['']	[]
311	""","""	['']	[]
312	ook	['']	[]
313	de	['']	[]
314	mensen	['']	[]
315	die	['']	[]
316	thuis	['']	[]
317	meekijken	['']	[]
318	.	['']	[]
