	token	gold	model
0	onderwerp	['']	[]
1	geluidbelasting	['']	[]
2	tgv	['']	[]
3	“	['']	[]
4	De	['']	[]
5	Harmonie	['']	[]
6	”	['']	[]
7	opdrachtnummer	['']	[]
8	09-127	['']	[]
9	bestand	['']	[]
10	09-127b1	['']	[]
11	.	['']	[]
12	doc	['']	[]
13	bladzijde	['']	[]
14	pagina	['']	[]
15	1	['']	[]
16	van	['']	[]
17	2	['']	[]
18	akoestie	['']	[]
19	k	['']	[]
20	ADVIESBUROVANDERBOOM	['']	[]
21	Lore	['']	[]
22	eta	['']	[]
23	.	['']	[]
24	Zaadmarkt	['']	[]
25	87	['']	[]
26	sinds	['']	[]
27	1971	['']	[]
28	7201	['']	[]
29	DC	['']	[]
30	Zutphen	['']	[]
31	telefoon	['']	[]
32	GEMEENTE	['']	[]
33	Wij	['']	[]
34	Z8SWIJK	['']	[]
35	SENT	['']	[]
36	EE	['']	[]
37	NE	['']	[]
38	fax	['']	[]
39	Sesent	['']	[]
40	|	['']	[]
41	P	['']	[]
42	0575-545648	['']	[]
43	Architektenbureau	['']	[]
44	H.	['B_PER_1']	['B_PER_1']
45	ten	['I_PER_1']	['I_PER_1']
46	Dolle	['I_PER_1']	['I_PER_1']
47	b.v	['']	[]
48	bsite	['']	[]
49	ee	['']	[]
50	U	['']	[]
51	wekevndenanntes	['']	[]
52	nl	['']	[]
53	Ligusterlaan	['']	[]
54	18-22	['']	[]
55	Dat.ontv.	['']	[]
56	0	['']	[]
57	7	['']	[]
58	JUN	['']	[]
59	2010	['']	[]
60	7101	['']	[]
61	WX	['']	[]
62	WINTERSWIJK	['']	[]
63	e-mail	['']	[]
64	Nr.	['']	[]
65	brief	['']	[]
66	é	['']	[]
67	info@vanderboomadvies.nl	['']	[]
68	3303	['']	[]
69	Beh.	['']	[]
70	|vaor	['']	[]
71	Afgedaan	['']	[]
72	Par.	['']	[]
73	lid	['']	[]
74	Afd	['']	[]
75	.	['']	[]
76	Kv	['']	[]
77	gecertificeerd	['']	[]
78	Zutphen	['']	[]
79	,	['']	[]
80	29	['']	[]
81	april	['']	[]
82	2010	['']	[]
83	Geachte	['']	[]
84	heer	['B_PER_1']	['B_PER_2']
85	Ten	['I_PER_1']	['I_PER_3']
86	Dolle	['I_PER_1']	['I_PER_3']
87	,	['']	[]
88	Op	['']	[]
89	6	['']	[]
90	mei	['']	[]
91	2009	['']	[]
92	hebben	['']	[]
93	wij	['B_PER_2']	[]
94	onderzoek	['']	[]
95	verricht	['']	[]
96	naar	['']	[]
97	de	['']	[]
98	geluidbelasting	['']	[]
99	door	['']	[]
100	wegverkeer	['']	[]
101	op	['']	[]
102	de	['']	[]
103	verbouwing	['']	[]
104	van	['']	[]
105	het	['']	[]
106	pand	['']	[]
107	aan	['']	[]
108	de	['']	[]
109	Groenloseweg	['']	[]
110	63	['']	[]
111	te	['']	[]
112	Winterswijk	['']	[]
113	.	['']	[]
114	In	['']	[]
115	aanvulling	['']	[]
116	op	['']	[]
117	dit	['']	[]
118	akoestisch	['']	[]
119	onderzoek	['']	[]
120	,	['']	[]
121	met	['']	[]
122	rapportnummer	['']	[]
123	-9	['']	[]
124	127r1	['']	[]
125	,	['']	[]
126	het	['']	[]
127	volgende	['']	[]
128	:	['']	[]
129	Geluidbelasting	['']	[]
130	door	['']	[]
131	inrichting	['']	[]
132	“	['']	[]
133	De	['']	[]
134	Harmonie	['']	[]
135	”	['']	[]
136	Het	['']	[]
137	te	['']	[]
138	verbouwen	['']	[]
139	pand	['']	[]
140	ligt	['']	[]
141	op	['']	[]
142	17	['']	[]
143	meter	['']	[]
144	uit	['']	[]
145	de	['']	[]
146	grens	['']	[]
147	van	['']	[]
148	""""	['']	[]
149	de	['']	[]
150	Harmonie	['']	[]
151	""""	['']	[]
152	gelegen	['']	[]
153	aan	['']	[]
154	de	['']	[]
155	Groenloseweg	['']	[]
156	60	['']	[]
157	te	['']	[]
158	Winterswijk	['']	[]
159	.	['']	[]
160	Het	['']	[]
161	pand	['']	[]
162	ligt	['']	[]
163	daarbij	['']	[]
164	op	['']	[]
165	ca	['']	[]
166	23	['']	[]
167	meter	['']	[]
168	uit	['']	[]
169	de	['']	[]
170	gevel	['']	[]
171	van	['']	[]
172	de	['']	[]
173	feestzaal	['']	[]
174	van	['']	[]
175	“	['']	[]
176	De	['']	[]
177	Harmonie	['']	[]
178	”	['']	[]
179	(	['']	[]
180	zie	['']	[]
181	tekening	['']	[]
182	1	['']	[]
183	)	['']	[]
184	.	['']	[]
185	In	['']	[]
186	deze	['']	[]
187	feestzaal	['']	[]
188	wordt	['']	[]
189	muziekgeluid	['']	[]
190	ten	['']	[]
191	gehore	['']	[]
192	gebracht	['']	[]
193	met	['']	[]
194	hoge	['']	[]
195	geluidniveaus	['']	[]
196	.	['']	[]
197	De	['']	[]
198	inrichting	['']	[]
199	dient	['']	[]
200	te	['']	[]
201	voldoen	['']	[]
202	aan	['']	[]
203	de	['']	[]
204	grenswaarden	['']	[]
205	uit	['']	[]
206	het	['']	[]
207	Activiteitenbesluit	['']	[]
208	.	['']	[]
209	Deze	['']	[]
210	grenswaarden	['']	[]
211	gelden	['']	[]
212	op	['']	[]
213	de	['']	[]
214	gevels	['']	[]
215	van	['']	[]
216	woningen	['']	[]
217	.	['']	[]
218	Onderzocht	['']	[]
219	dient	['']	[]
220	te	['']	[]
221	worden	['']	[]
222	of	['']	[]
223	de	['']	[]
224	grenswaarden	['']	[]
225	op	['']	[]
226	de	['']	[]
227	gevels	['']	[]
228	van	['']	[]
229	het	['']	[]
230	te	['']	[]
231	verbouwen	['']	[]
232	pand	['']	[]
233	niet	['']	[]
234	worden	['']	[]
235	overschreden	['']	[]
236	in	['']	[]
237	geval	['']	[]
238	dat	['']	[]
239	in	['']	[]
240	de	['']	[]
241	huidige	['']	[]
242	situatie	['']	[]
243	aan	['']	[]
244	de	['']	[]
245	grenswaarden	['']	[]
246	wordt	['']	[]
247	voldaan	['']	[]
248	.	['']	[]
249	In	['']	[]
250	dat	['']	[]
251	geval	['']	[]
252	zou	['']	[]
253	de	['']	[]
254	inrichting	['']	[]
255	worden	['']	[]
256	beperkt	['']	[]
257	in	['']	[]
258	zijn	['']	[]
259	bedrijfsvoering	['']	[]
260	na	['']	[]
261	de	['']	[]
262	verbouw	['']	[]
263	van	['']	[]
264	het	['']	[]
265	pand	['']	[]
266	.	['']	[]
267	Maatgevende	['']	[]
268	woning	['']	[]
269	In	['']	[]
270	de	['']	[]
271	huidige	['']	[]
272	toestand	['']	[]
273	dient	['']	[]
274	de	['']	[]
275	inrichting	['']	[]
276	aan	['']	[]
277	de	['']	[]
278	grenswaarden	['']	[]
279	uit	['']	[]
280	het	['']	[]
281	Activiteitenbesluit	['']	[]
282	te	['']	[]
283	voldoen	['']	[]
284	.	['']	[]
285	Indien	['']	[]
286	op	['']	[]
287	de	['']	[]
288	maatgevende	['']	[]
289	woning	['']	[]
290	aan	['']	[]
291	de	['']	[]
292	grenswaarden	['']	[]
293	wordt	['']	[]
294	voldaan	['']	[]
295	wordt	['']	[]
296	ook	['']	[]
297	op	['']	[]
298	de	['']	[]
299	andere	['']	[]
300	woningen	['']	[]
301	aan	['']	[]
302	de	['']	[]
303	grenswaarden	['']	[]
304	voldaan	['']	[]
305	.	['']	[]
306	In	['']	[]
307	dit	['']	[]
308	geval	['']	[]
309	ligt	['']	[]
310	de	['']	[]
311	maatgevende	['']	[]
312	woning	['']	[]
313	op	['']	[]
314	13	['']	[]
315	meter	['']	[]
316	uit	['']	[]
317	de	['']	[]
318	grens	['']	[]
319	van	['']	[]
320	de	['']	[]
321	inrichting	['']	[]
322	(	['']	[]
323	zie	['']	[]
324	tekening	['']	[]
325	1	['']	[]
326	)	['']	[]
327	op	['']	[]
328	de	['']	[]
329	hoek	['']	[]
330	van	['']	[]
331	de	['']	[]
332	Groenloseweg	['']	[]
333	en	['']	[]
334	de	['']	[]
335	Haitsma	['']	[]
336	Mulierweg	['']	[]
337	.	['']	[]
338	energiebesparing	['']	[]
339	duurzame	['']	[]
340	ëederg	['']	[]
341	i	['']	[]
342	ë	['']	[]
343	onderwerp	['']	[]
344	geluidbelasting	['']	[]
345	tgv	['']	[]
346	“	['']	[]
347	De	['']	[]
348	Harmonie	['']	[]
349	”	['']	[]
350	opdrachtnummer	['']	[]
351	09-127	['']	[]
352	bestand	['']	[]
353	09-127b1	['']	[]
354	.	['']	[]
355	doc	['']	[]
356	bladzijde	['']	[]
357	pagina	['']	[]
358	2	['']	[]
359	van	['']	[]
360	2	['']	[]
361	De	['']	[]
362	maatgevende	['']	[]
363	woning	['']	[]
364	ligt	['']	[]
365	daarmee	['']	[]
366	dichter	['']	[]
367	bij	['']	[]
368	de	['']	[]
369	grens	['']	[]
370	van	['']	[]
371	de	['']	[]
372	inrichting	['']	[]
373	dan	['']	[]
374	het	['']	[]
375	te	['']	[]
376	verbouwen	['']	[]
377	pand	['']	[]
378	.	['']	[]
379	Daarbij	['']	[]
380	ligt	['']	[]
381	maatgevende	['']	[]
382	woning	['']	[]
383	ook	['']	[]
384	nog	['']	[]
385	eens	['']	[]
386	aanzienlijk	['']	[]
387	dichter	['']	[]
388	bij	['']	[]
389	de	['']	[]
390	feestzaal	['']	[]
391	van	['']	[]
392	“	['']	[]
393	De	['']	[]
394	Harmonie	['']	[]
395	”	['']	[]
396	,	['']	[]
397	namelijk	['']	[]
398	op	['']	[]
399	13	['']	[]
400	meter	['']	[]
401	ipv	['']	[]
402	op	['']	[]
403	23	['']	[]
404	meter	['']	[]
405	.	['']	[]
406	Aangenomen	['']	[]
407	mag	['']	[]
408	worden	['']	[]
